workload_id,cpu_usage_percent,memory_usage_percent,runtime_hours_24h,storage_gb,request_count_24h,error_rate_percent,latency_ms,cost_24h,cost_30d_forecast,energy_kwh_24h,carbon_kgco2e_24h,carbon_intensity_gco2_per_kwh,environment,cloud_service_type,workflow_criticality,public_exposure,monitoring_enabled,cost_30d,energy_kwh_30d,carbon_kgco2e_30d
wl-field-app-001,47.51,46.09,22.96,92.81,59885,1.279,136.23,27.7,753.96,10.917,4.324,396.07,0,1,1,0,1,985.64,290.183,112.121
wl-field-app-001,26.08,42.77,21.8,96.98,63912,0.722,119.08,21.99,621.15,7.484,3.055,408.13,0,1,1,0,1,630.6,221.826,91.255
wl-field-app-001,39.92,55.26,21.52,99.82,47366,0.411,103.1,22.4,639.82,8.684,3.756,432.49,0,1,1,0,1,647.08,243.564,114.701
wl-field-app-001,34.46,60.96,24.0,111.51,35747,0.442,163.43,25.66,834.28,9.945,4.097,411.91,0,1,1,0,1,656.83,273.271,105.809
wl-field-app-001,30.28,33.15,24.0,117.82,37242,0.205,152.97,27.28,862.98,10.131,4.463,440.53,0,1,1,0,1,940.59,285.39,156.865
wl-field-app-001,33.91,65.37,24.0,117.04,38489,1.074,169.19,27.19,785.83,10.709,4.546,424.52,0,1,1,0,1,715.54,276.432,132.464
wl-field-app-001,40.5,45.83,20.93,125.23,71612,1.235,157.66,22.76,709.05,9.662,4.39,454.3,0,1,1,0,1,621.6,297.856,157.646
wl-field-app-001,39.69,49.4,24.0,113.41,50143,0.88,151.33,23.04,628.94,10.601,4.276,403.34,0,1,1,0,1,731.21,303.122,138.823
wl-field-app-001,29.28,49.08,24.0,115.89,62822,0.812,124.65,23.62,740.58,9.874,3.698,374.45,0,1,1,0,1,742.9,330.431,132.467
wl-field-app-001,38.09,51.63,23.52,91.33,53161,0.639,131.16,23.86,665.51,10.609,4.458,420.22,0,1,1,0,1,849.21,290.419,123.026
wl-field-app-001,33.03,34.13,19.53,100.44,50386,0.762,186.43,20.23,558.92,9.374,3.022,322.33,0,1,1,0,1,707.9,324.245,102.373
wl-field-app-001,38.04,60.71,24.0,94.96,73813,0.811,202.61,25.69,787.42,10.951,4.456,406.94,0,1,1,0,1,811.77,326.302,141.799
wl-field-app-001,37.83,46.33,24.0,100.47,53482,0.804,160.1,20.4,580.48,11.242,4.766,423.94,0,1,1,0,1,541.26,375.616,165.62
wl-field-app-001,35.84,56.23,20.78,93.9,42689,0.785,158.37,22.95,687.99,8.974,3.383,376.94,0,1,1,0,1,612.0,252.633,96.731
wl-iot-dashboard-001,39.38,49.79,24.0,114.21,36111,0.425,117.2,28.95,798.38,10.263,4.305,419.48,0,1,1,0,1,995.19,328.166,134.295
wl-iot-dashboard-001,37.55,50.29,23.25,115.74,41549,0.524,164.37,25.38,802.88,10.283,3.698,359.63,0,1,1,0,1,702.31,363.87,98.985
wl-iot-dashboard-001,38.65,40.42,24.0,83.86,40603,0.927,166.67,28.05,904.58,11.869,4.624,389.59,0,1,1,0,1,815.25,368.817,129.975
wl-iot-dashboard-001,28.72,47.62,21.92,101.79,42856,0.747,206.47,21.56,599.2,8.426,3.408,404.43,0,1,1,0,1,578.26,299.129,104.152
wl-iot-dashboard-001,49.88,52.32,24.0,82.74,48901,1.101,175.98,31.32,932.92,12.574,5.243,416.94,0,1,1,0,1,930.25,390.872,143.998
wl-iot-dashboard-001,22.42,52.87,15.24,74.15,55647,0.953,115.13,15.06,462.96,5.252,2.031,386.64,0,1,1,0,1,502.84,177.704,56.305
wl-iot-dashboard-001,40.79,42.48,23.74,99.47,32940,0.718,127.73,25.95,799.07,10.47,4.61,440.32,0,1,1,0,1,768.76,368.332,133.009
wl-iot-dashboard-001,33.75,58.29,23.01,78.75,55547,0.948,104.08,24.83,676.32,9.996,4.174,417.53,0,1,1,0,1,750.29,348.586,139.283
wl-iot-dashboard-001,43.63,47.73,22.84,113.06,68490,1.374,189.44,26.57,798.45,11.513,4.679,406.4,0,1,1,0,1,930.51,344.258,151.096
wl-iot-dashboard-001,35.62,46.89,24.0,100.04,54252,1.014,138.75,25.59,721.41,9.006,3.916,434.8,0,1,1,0,1,861.77,311.042,109.999
wl-iot-dashboard-001,33.87,50.39,23.34,94.95,57746,0.909,159.48,24.94,816.03,7.726,3.271,423.44,0,1,1,0,1,795.78,217.7,104.905
wl-iot-dashboard-001,46.27,58.91,24.0,92.49,56064,0.631,149.96,26.18,841.01,12.484,5.522,442.35,0,1,1,0,1,756.17,389.709,169.213
wl-iot-dashboard-001,40.61,44.28,21.94,91.94,56782,0.494,163.13,23.37,698.3,10.048,3.71,369.27,0,1,1,0,1,707.86,281.572,119.739
wl-iot-dashboard-001,42.47,50.89,24.0,97.69,68175,0.654,183.97,26.47,841.35,9.907,3.852,388.86,0,1,1,0,1,908.22,267.007,129.556
wl-iot-dashboard-001,33.31,48.28,20.18,86.31,52834,1.222,234.28,23.07,641.92,8.61,3.364,390.76,0,1,1,0,1,779.75,244.02,117.052
wl-iot-dashboard-001,37.55,39.51,20.3,109.8,46541,0.609,150.26,21.71,716.25,8.301,3.62,436.07,0,1,1,0,1,671.24,219.984,119.976
wl-iot-dashboard-001,45.84,59.31,24.0,109.21,57479,0.966,117.08,23.86,703.87,10.587,4.584,432.98,0,1,1,0,1,688.99,353.216,155.467
wl-iot-dashboard-001,33.09,48.2,24.0,101.18,64171,0.684,160.56,25.01,740.64,9.973,3.766,377.57,0,1,1,0,1,841.06,257.972,121.816
wl-iot-dashboard-001,50.63,49.26,23.41,68.54,38822,0.716,129.42,27.81,793.76,13.299,6.055,455.32,0,1,1,0,1,928.76,409.52,202.109
wl-iot-dashboard-001,50.31,32.6,19.2,91.85,50181,1.021,164.19,25.46,748.37,10.62,4.22,397.4,0,1,1,0,1,914.08,286.112,136.58
wl-iot-dashboard-001,44.19,50.83,24.0,122.09,19364,0.346,114.39,26.44,803.59,9.599,3.821,398.09,0,1,1,0,1,827.01,328.276,125.947
wl-iot-dashboard-001,37.53,47.27,21.24,71.38,48538,0.481,147.45,20.61,589.99,9.435,3.373,357.51,0,1,1,0,1,638.55,271.764,105.99
wl-iot-dashboard-001,35.2,54.75,23.97,79.35,46047,0.917,168.39,28.27,921.84,11.242,4.557,405.38,0,1,1,0,1,738.43,312.069,144.238
wl-iot-dashboard-001,32.63,43.05,24.0,84.13,33468,0.644,162.61,22.25,648.91,9.247,3.76,406.64,0,1,1,0,1,580.28,270.506,106.344
wl-iot-dashboard-001,45.32,46.33,23.55,89.3,16853,0.359,95.68,23.72,747.83,12.713,4.274,336.21,0,1,1,0,1,809.09,394.407,153.724
wl-iot-dashboard-001,34.59,53.93,24.0,91.35,56994,0.981,133.51,21.48,631.14,10.239,3.821,373.17,0,1,1,0,1,679.57,274.866,110.317
wl-iot-dashboard-001,43.71,61.64,24.0,84.98,71044,0.63,181.35,25.88,759.43,9.212,3.798,412.23,0,1,1,0,1,749.3,278.544,119.485
wl-iot-dashboard-001,35.22,52.26,22.26,90.57,59681,0.788,202.19,25.04,708.24,9.577,3.775,394.18,0,1,1,0,1,786.38,320.183,106.466
wl-iot-dashboard-001,34.98,54.97,24.0,108.9,69212,1.264,138.75,22.95,624.93,10.222,4.316,422.24,0,1,1,0,1,749.16,321.048,111.261
wl-iot-dashboard-001,47.16,33.72,19.17,111.94,50755,0.88,110.21,26.82,767.75,10.079,4.125,409.24,0,1,1,0,1,729.24,339.006,126.681
wl-iot-dashboard-001,41.55,56.34,20.22,90.08,35531,0.491,151.6,23.58,716.37,9.952,3.4,341.63,0,1,1,0,1,844.29,317.236,101.872
wl-iot-dashboard-001,23.33,47.39,21.17,112.07,41561,0.929,166.96,18.25,543.51,8.053,3.787,470.23,0,1,1,0,1,597.6,219.176,123.14
wl-iot-dashboard-001,39.87,38.28,24.0,114.51,53661,0.292,146.29,21.02,687.05,9.625,4.18,434.34,0,1,1,0,1,625.43,327.192,149.375
wl-iot-dashboard-001,42.81,54.93,24.0,96.79,40026,0.937,163.17,23.97,653.0,13.71,5.384,392.72,0,1,1,0,1,788.88,393.043,188.347
wl-iot-dashboard-001,38.48,54.22,20.9,105.29,73911,0.949,138.71,21.28,631.39,9.011,3.545,393.37,0,1,1,0,1,556.75,321.454,101.955
wl-iot-dashboard-001,37.72,52.83,21.3,119.93,65570,1.107,104.56,23.32,647.52,7.841,3.428,437.2,0,1,1,0,1,789.66,244.869,106.977
wl-iot-dashboard-001,41.75,61.05,24.0,56.99,46032,0.747,97.44,29.72,941.6,9.813,4.054,413.09,0,1,1,0,1,897.15,346.14,129.431
wl-iot-dashboard-001,36.74,53.47,19.51,127.93,57533,0.742,167.27,22.71,634.08,8.187,2.978,363.76,0,1,1,0,1,594.18,225.553,93.725
wl-iot-dashboard-001,41.54,54.89,23.98,107.7,44764,1.514,102.96,29.94,849.02,10.039,4.531,451.36,0,1,1,0,1,901.17,355.693,133.549
wl-iot-dashboard-001,38.7,48.43,24.0,121.02,52266,0.508,174.73,27.22,887.82,11.437,5.035,440.21,0,1,1,0,1,747.73,304.533,154.694
wl-iot-dashboard-001,41.42,49.37,22.94,55.67,34408,1.159,130.06,21.67,668.01,11.997,5.061,421.83,0,1,1,0,1,564.16,429.541,153.966
wl-iot-dashboard-001,38.16,45.55,23.22,107.65,48684,0.674,194.02,30.21,878.76,10.328,4.196,406.25,0,1,1,0,1,980.59,336.214,149.308
wl-iot-dashboard-001,34.88,53.45,24.0,100.6,33920,0.365,107.19,24.71,760.17,11.331,3.989,352.02,0,1,1,0,1,824.07,395.393,113.132
wl-iot-dashboard-001,52.58,39.07,23.06,125.59,55624,0.98,153.44,30.6,891.73,10.871,4.575,420.82,0,1,1,0,1,933.87,294.032,129.788
wl-iot-dashboard-001,36.3,49.83,22.51,83.92,45579,0.447,159.68,24.97,797.04,8.564,3.188,372.28,0,1,1,0,1,699.78,250.831,87.204
wl-iot-dashboard-001,38.73,53.74,18.94,99.35,74968,0.842,152.04,21.98,624.46,6.725,2.878,427.98,0,1,1,0,1,736.48,237.166,88.444
wl-iot-dashboard-001,38.11,35.49,20.96,58.75,47073,0.74,137.27,24.81,741.01,9.075,4.042,445.39,0,1,1,0,1,761.53,270.232,127.182
wl-iot-dashboard-001,45.89,41.26,24.0,85.61,59365,0.26,122.09,26.9,791.0,12.473,5.734,459.74,0,1,1,0,1,761.54,397.471,202.752
wl-iot-dashboard-001,29.32,43.98,24.0,105.93,30411,0.568,132.55,19.7,554.58,8.92,3.55,398.01,0,1,1,0,1,538.64,303.504,100.398
wl-iot-dashboard-001,37.65,51.05,22.04,82.8,38247,0.597,115.1,24.87,709.33,8.126,3.375,415.32,0,1,1,0,1,836.87,273.067,99.464
wl-iot-dashboard-001,31.28,40.53,24.0,115.43,22322,0.911,185.69,24.7,725.36,9.068,3.672,404.98,0,1,1,0,1,823.47,266.601,100.923
wl-iot-dashboard-001,34.09,46.58,20.67,78.85,47827,0.567,161.34,21.53,613.06,8.899,3.781,424.84,0,1,1,0,1,713.99,297.437,100.291
wl-iot-dashboard-001,47.59,39.34,23.25,120.37,56350,0.862,143.47,28.01,799.14,11.058,4.395,397.41,0,1,1,0,1,754.02,391.576,130.618
wl-iot-dashboard-001,57.49,36.67,24.0,88.6,57217,0.815,172.86,31.55,1012.5,14.358,6.441,448.56,0,1,1,0,1,879.98,373.758,222.894
wl-iot-dashboard-001,32.68,43.77,24.0,99.74,53538,1.147,97.04,23.83,749.95,9.72,4.295,441.94,0,1,1,0,1,813.03,324.322,122.517
wl-iot-dashboard-001,43.89,38.81,24.0,98.21,64619,0.743,129.18,30.48,947.02,11.871,4.67,393.38,0,1,1,0,1,944.72,326.212,158.075
wl-iot-dashboard-001,29.44,55.64,24.0,135.8,36248,0.767,203.95,21.29,686.55,9.746,4.377,449.08,0,1,1,0,1,606.28,329.155,129.203
wl-iot-dashboard-001,30.41,51.01,24.0,96.59,29811,1.116,160.94,22.51,703.88,8.201,3.167,386.19,0,1,1,0,1,707.16,251.813,82.601
wl-iot-dashboard-001,43.84,45.96,24.0,97.88,60913,0.629,102.82,25.59,772.47,9.854,3.594,364.67,0,1,1,0,1,861.89,276.71,100.344
wl-iot-dashboard-001,41.22,41.54,22.82,102.12,20932,0.876,207.09,25.62,828.4,11.473,4.533,395.13,0,1,1,0,1,871.83,334.675,143.142
wl-iot-dashboard-001,39.32,42.4,24.0,91.24,43394,0.994,109.85,22.13,728.9,10.008,4.447,444.35,0,1,1,0,1,581.5,269.137,152.032
wl-iot-dashboard-001,36.82,50.55,24.0,98.64,49614,0.731,106.74,27.29,764.69,8.993,3.535,393.06,0,1,1,0,1,924.23,253.946,95.838
wl-iot-dashboard-001,48.86,53.8,20.85,110.07,40316,0.615,159.41,26.95,874.65,9.509,3.745,393.87,0,1,1,0,1,770.61,299.278,106.905
wl-iot-dashboard-001,43.77,62.82,24.0,84.54,50880,0.424,126.67,24.15,711.36,10.069,3.92,389.33,0,1,1,0,1,637.85,280.271,118.117
wl-iot-dashboard-001,56.86,46.61,24.0,80.57,71326,1.158,158.91,31.42,987.48,11.385,4.165,365.82,0,1,1,0,1,825.0,351.961,127.265
wl-iot-dashboard-001,34.1,55.16,24.0,116.64,30099,0.896,180.47,24.2,765.14,10.368,3.687,355.61,0,1,1,0,1,803.52,267.892,116.086
wl-iot-dashboard-001,39.11,45.77,22.94,99.4,55530,0.703,137.71,19.82,594.5,10.707,4.422,413.03,0,1,1,0,1,662.62,368.564,159.151
wl-iot-dashboard-001,28.16,52.05,23.98,102.55,44223,1.013,177.98,21.91,714.1,7.397,3.15,425.87,0,1,1,0,1,605.51,229.668,107.875
wl-iot-dashboard-001,44.04,56.45,24.0,86.86,47169,1.039,151.72,28.21,847.15,11.938,4.457,373.35,0,1,1,0,1,907.85,355.607,148.718
wl-iot-dashboard-001,34.6,45.6,24.0,113.18,31282,0.381,88.87,21.64,625.33,9.761,4.013,411.07,0,1,1,0,1,592.01,316.13,113.907
wl-iot-dashboard-001,44.03,53.56,22.34,97.47,63046,0.926,108.09,22.47,715.03,11.987,5.172,431.5,0,1,1,0,1,783.81,307.048,141.594
wl-iot-dashboard-001,44.07,47.22,24.0,113.08,42977,0.603,114.17,22.14,661.14,12.112,4.543,375.09,0,1,1,0,1,648.15,337.408,118.044
wl-iot-dashboard-001,48.53,46.57,24.0,69.88,53334,0.46,155.99,29.92,893.05,13.035,4.677,358.79,0,1,1,0,1,952.46,366.011,121.352
wl-iot-dashboard-001,36.51,38.37,24.0,93.25,36553,0.623,182.14,24.59,804.41,11.024,4.738,429.78,0,1,1,0,1,630.18,369.432,169.08
wl-iot-dashboard-001,42.61,44.15,24.0,108.28,13535,1.181,58.57,29.41,924.53,10.761,4.195,389.79,0,1,1,0,1,773.05,356.861,144.352
wl-iot-dashboard-001,46.77,49.59,21.14,91.25,37284,1.077,171.97,23.56,739.8,9.345,3.305,353.61,0,1,1,0,1,653.94,322.649,97.39
wl-iot-dashboard-001,33.03,44.92,22.08,80.88,51185,0.407,84.59,18.03,523.56,8.475,3.369,397.55,0,1,1,0,1,473.25,258.421,112.586
wl-iot-dashboard-001,41.47,36.68,22.43,103.23,37193,1.091,113.92,23.18,693.86,10.427,4.177,400.61,0,1,1,0,1,625.52,282.617,136.677
wl-iot-dashboard-001,42.91,51.79,23.79,93.54,59956,0.725,140.8,31.02,958.79,9.569,3.956,413.43,0,1,1,0,1,826.42,245.402,111.199
wl-iot-dashboard-001,42.93,51.28,22.65,100.47,46849,0.548,141.3,23.33,643.84,9.678,4.031,416.51,0,1,1,0,1,786.55,342.558,103.733
wl-iot-dashboard-001,45.79,50.66,24.0,104.56,48855,0.63,216.42,25.75,717.94,11.994,4.74,395.18,0,1,1,0,1,747.57,430.222,121.669
wl-iot-dashboard-001,33.33,58.92,24.0,81.03,72214,1.011,149.69,24.38,671.6,9.972,4.609,462.16,0,1,1,0,1,730.22,351.675,141.833
wl-iot-dashboard-001,35.26,50.97,23.83,80.0,31602,0.981,71.94,23.22,652.86,11.489,4.788,416.74,0,1,1,0,1,665.53,296.716,141.79
wl-iot-dashboard-001,44.42,46.53,24.0,85.09,53682,1.095,169.8,25.12,806.66,9.768,4.619,472.86,0,1,1,0,1,791.33,271.012,161.433
wl-iot-dashboard-001,33.26,55.75,21.06,117.38,85717,0.917,167.49,17.23,539.09,8.239,3.245,393.83,0,1,1,0,1,619.11,239.651,88.295
wl-iot-dashboard-001,42.28,47.68,23.59,114.47,49595,0.97,144.12,22.44,642.82,8.73,3.481,398.78,0,1,1,0,1,580.01,248.216,95.824
wl-iot-dashboard-001,39.79,50.4,18.83,86.27,55090,0.924,115.39,22.36,671.33,9.109,3.782,415.2,0,1,1,0,1,695.01,262.362,127.174
wl-iot-dashboard-001,41.17,54.72,24.0,112.28,51182,1.051,176.12,21.51,680.14,12.629,4.845,383.61,0,1,1,0,1,569.56,409.063,125.278
wl-iot-dashboard-001,38.32,46.16,24.0,84.29,40023,0.868,161.71,27.75,814.78,10.809,4.608,426.28,0,1,1,0,1,831.63,375.441,130.576
wl-iot-dashboard-001,41.29,55.79,24.0,100.66,39885,0.822,149.16,32.09,946.12,10.381,4.322,416.34,0,1,1,0,1,1096.01,292.701,154.221
wl-iot-dashboard-001,37.73,52.43,22.08,94.73,53111,1.071,159.57,23.03,637.66,9.365,4.226,451.3,0,1,1,0,1,723.54,309.712,110.386
wl-iot-dashboard-001,34.34,57.02,23.13,101.91,49206,1.034,124.6,23.93,692.55,10.339,3.874,374.72,0,1,1,0,1,757.9,341.582,116.795
wl-iot-dashboard-001,36.87,42.92,24.0,109.5,57562,1.199,234.38,23.17,675.01,9.782,3.462,353.94,0,1,1,0,1,700.95,292.19,95.197
wl-iot-dashboard-001,42.01,50.39,24.0,107.62,57537,0.681,213.63,21.56,679.06,9.934,4.15,417.69,0,1,1,0,1,748.27,267.565,119.762
wl-iot-dashboard-001,52.07,54.12,24.0,86.03,37510,0.812,155.19,28.86,846.58,12.265,4.282,349.11,0,1,1,0,1,840.73,381.518,143.891
wl-iot-dashboard-001,40.54,54.54,24.0,95.58,44298,0.94,168.33,28.14,837.11,11.93,4.721,395.76,0,1,1,0,1,744.93,374.607,126.667
wl-iot-dashboard-001,40.07,49.26,22.44,77.72,51158,0.554,152.58,21.59,654.92,10.343,3.971,383.96,0,1,1,0,1,599.52,357.188,128.306
wl-iot-dashboard-001,42.91,41.92,20.91,123.74,38456,0.466,148.83,21.21,696.39,9.418,3.834,407.04,0,1,1,0,1,698.59,300.539,110.14
wl-iot-dashboard-001,42.95,45.35,20.2,88.83,49316,1.173,118.9,24.06,712.48,7.154,2.913,407.23,0,1,1,0,1,695.45,221.608,87.475
wl-iot-dashboard-001,46.51,54.13,18.29,88.23,51727,0.738,164.33,22.48,673.77,8.639,3.766,435.89,0,1,1,0,1,790.07,223.241,98.668
wl-iot-dashboard-001,43.79,56.81,24.0,54.04,34023,1.404,133.6,30.35,969.92,11.27,3.887,344.92,0,1,1,0,1,818.02,338.065,127.273
wl-iot-dashboard-001,44.18,67.08,24.0,76.29,55583,1.165,186.08,30.29,974.44,12.351,4.891,396.01,0,1,1,0,1,1037.97,326.476,125.94
wl-iot-dashboard-001,37.06,43.32,17.37,93.48,54616,0.642,208.06,20.49,655.32,7.759,3.184,410.44,0,1,1,0,1,533.6,236.754,110.838
wl-iot-dashboard-001,42.98,52.75,23.31,106.07,77929,0.713,162.58,28.97,845.66,10.848,4.895,451.26,0,1,1,0,1,784.36,375.969,155.78
wl-iot-dashboard-001,41.02,57.5,21.83,76.71,53259,0.789,135.25,30.45,958.76,10.766,4.444,412.78,0,1,1,0,1,799.4,341.469,148.6
wl-iot-dashboard-001,27.67,48.59,24.0,85.45,47795,0.579,195.06,23.83,750.98,9.9,4.302,434.58,0,1,1,0,1,830.88,336.208,120.88
